Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,L/W Ratio,Report,Depth,Table,Fluorescence,Culet,Date Loose,Price,ln price,ln carat
 Round,0.31,Ideal,D,SI2,EX,EX,1.01,GIA,61.3,57,Faint,None,12/09/2008,440.00,6.08677473,-1.171183
 Round,0.31,Ideal,D,SI2,EX,EX,1.01,GIA,61,55,None,None,12/09/2008,440.00,6.08677473,-1.171183
 Round,0.31,Ideal,E,SI2,EX,EX,1.01,GIA,62.8,55,None,None,12/10/2008,440.00,6.08677473,-1.171183
 Round,0.31,Ideal,E,SI2,EX,EX,1.01,GIA,61.9,56,None,None,12/10/2008,440.00,6.08677473,-1.171183
 Princess,0.33,Very Good,D,SI1,EX,VG,1.02,GIA,73.3,72,None,None,12/10/2008,440.00,6.08677473,-1.1086626
 Princess,0.35,Very Good,I,VVS1,EX,VG,1,GIA,69,70,Faint,None,12/10/2008,440.00,6.08677473,-1.0498221
 Round,0.37,Ideal,G,SI2,EX,VG,1.01,GIA,61.4,58,None,None,12/10/2008,440.00,6.08677473,-0.9942523
 Round,0.38,Fair,G,SI1,G,G,1.01,GIA,67,60,None,None,12/10/2008,440.00,6.08677473,-0.967584
 Princess,0.26,Good,E,VS1,VG,G,1.03,GIA,78.7,75,None,None,12/10/2008,441.00,6.08904488,-1.3470736
 Round,0.36,Ideal,I,SI1,VG,VG,1.01,GIA,62.2,55,None,None,12/10/2008,441.00,6.08904488,-1.0216512
 Princess,0.4,Good,E,SI1,EX,VG,1.15,GIA,75.9,75,None,None,12/10/2008,441.00,6.08904488,-0.9162907
 Round,0.3,Very Good,I,VVS1,EX,EX,1.01,GIA,62.5,58,None,None,12/17/2008,442.00,6.09130988,-1.2039728
 Round,0.33,Ideal,E,SI2,ID,ID,1.01,AGSL,61.6,56,None,None,12/10/2008,451.00,6.11146734,-1.1086626
 Round,0.33,Ideal,E,SI2,ID,ID,1,AGSL,61.8,55,None,None,12/10/2008,451.00,6.11146734,-1.1086626
 Round,0.34,Ideal,E,SI2,EX,VG,1.01,GIA,61.6,55,None,None,12/10/2008,451.00,6.11146734,-1.0788097
 Princess,0.34,Very Good,E,VS2,VG,G,1.01,GIA,70.6,73,None,None,12/11/2008,451.00,6.11146734,-1.0788097
 Round,0.35,Good,E,SI2,VG,VG,1.01,GIA,63.6,60,None,None,12/10/2008,451.00,6.11146734,-1.0498221
 Princess,0.27,Very Good,E,VVS1,VG,VG,1.03,GIA,75,74,None,None,12/10/2008,452.00,6.11368218,-1.3093333
 Princess,0.31,Very Good,E,VS1,VG,VG,1.02,GIA,70,67,None,None,12/10/2008,452.00,6.11368218,-1.171183
 Princess,0.31,Very Good,E,VS1,EX,VG,1.04,GIA,71.5,75,None,None,12/10/2008,452.00,6.11368218,-1.171183
 Round,0.35,Very Good,E,SI2,VG,VG,1.01,GIA,61.1,62,None,None,12/10/2008,452.00,6.11368218,-1.0498221
 Round,0.37,Good,E,SI2,G,G,1.01,GIA,58.5,58,None,Small,12/10/2008,452.00,6.11368218,-0.9942523
 Round,0.24,Good,E,VVS2,VG,G,1.01,GIA,65,58,None,None,12/10/2008,453.00,6.11589213,-1.4271164
 Round,0.32,Very Good,E,SI1,EX,VG,1.02,GIA,61,60,Medium Blue,None,12/12/2008,453.00,6.11589213,-1.1394343
 Round,0.32,Very Good,E,SI1,VG,VG,1.01,GIA,61.7,59,Medium Blue,None,12/12/2008,453.00,6.11589213,-1.1394343
 Princess,0.35,Good,E,VS1,VG,VG,1.01,GIA,62.9,79,None,None,12/10/2008,453.00,6.11589213,-1.0498221
 Round,0.26,Ideal,G,VS1,EX,EX,1.01,GIA,61.9,55,Faint,None,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.26,Ideal,G,VS1,EX,EX,1.01,GIA,62.2,55,None,None,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.26,Ideal,G,VS1,EX,EX,1.01,GIA,62.5,54,None,None,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.26,Ideal,G,VS1,EX,EX,1.01,GIA,61,57,None,None,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.26,Ideal,G,VS1,EX,EX,1.01,GIA,61.8,55,None,None,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.26,Ideal,E,VS2,VG,VG,1.01,GIA,59.6,61,None,Small,12/10/2008,454.00,6.1180972,-1.3470736
 Round,0.31,Very Good,G,SI1,VG,VG,1.01,GIA,62.9,55,None,None,12/10/2008,454.00,6.1180972,-1.171183
 Round,0.31,Very Good,G,SI1,VG,VG,1.01,GIA,63.5,58,Faint,None,12/10/2008,454.00,6.1180972,-1.171183
 Princess,0.31,Very Good,E,VS1,VG,G,1.01,GIA,67.5,78,None,None,12/10/2008,454.00,6.1180972,-1.171183
 Round,0.32,Ideal,G,SI1,EX,EX,1.01,GIA,61.6,55,None,None,12/10/2008,454.00,6.1180972,-1.1394343
 Princess,0.32,Very Good,E,VS1,EX,G,1.01,GIA,70.7,70,None,None,12/10/2008,454.00,6.1180972,-1.1394343
 Round,0.32,Ideal,E,SI2,EX,EX,1.01,GIA,61.3,56,None,None,12/10/2008,454.00,6.1180972,-1.1394343
 Princess,0.32,Very Good,E,VS1,VG,VG,1.01,GIA,68,74,Strong Blue,None,12/10/2008,454.00,6.1180972,-1.1394343
 Round,0.34,Ideal,G,VS2,VG,VG,1.01,GIA,62.2,56,None,None,12/12/2008,454.00,6.1180972,-1.0788097
 Princess,0.35,Very Good,E,VS2,G,G,1.04,GIA,73.9,72,None,None,12/11/2008,454.00,6.1180972,-1.0498221
 Princess,0.36,Very Good,D,SI2,VG,VG,1,GIA,72.4,73,None,None,12/10/2008,454.00,6.1180972,-1.0216512
 Emerald,0.26,Very Good,D,VVS1,VG,VG,1.47,GIA,66.7,67,None,None,12/09/2008,455.00,6.12029742,-1.3470736
 Round,0.31,Good,D,SI1,VG,VG,1.02,GIA,62.6,60,Medium,None,12/09/2008,455.00,6.12029742,-1.171183
 Princess,0.33,Very Good,G,VS1,EX,VG,1.03,GIA,72.4,75,None,None,12/11/2008,455.00,6.12029742,-1.1086626
 Round,0.33,Very Good,G,VS2,EX,EX,1,GIA,63.6,53,None,None,12/17/2008,455.00,6.12029742,-1.1086626
 Round,0.34,Ideal,G,SI1,ID,ID,1.01,AGSL,61.7,57,None,Pointed,12/10/2008,455.00,6.12029742,-1.0788097
 Princess,0.34,Very Good,G,VVS2,VG,VG,1.03,GIA,69.8,66,None,None,12/10/2008,455.00,6.12029742,-1.0788097
 Round,0.35,Very Good,G,VS2,VG,VG,1.01,GIA,62.9,59,None,None,12/12/2008,455.00,6.12029742,-1.0498221
 Round,0.26,Ideal,D,SI1,EX,EX,1,GIA,61.7,56,Faint,None,12/09/2008,456.00,6.12249281,-1.3470736
 Round,0.26,Ideal,D,SI1,EX,EX,1.01,GIA,62,56,Faint,None,12/09/2008,456.00,6.12249281,-1.3470736
 Round,0.26,Ideal,D,SI1,EX,EX,1.01,GIA,62,54,None,None,12/09/2008,456.00,6.12249281,-1.3470736
 Round,0.26,Ideal,D,SI1,EX,EX,1.01,GIA,62.3,55,None,None,12/09/2008,456.00,6.12249281,-1.3470736
 Round,0.28,Ideal,G,VS2,EX,EX,1.01,GIA,61.3,55,None,None,12/10/2008,456.00,6.12249281,-1.2729657
 Emerald,0.28,Very Good,D,SI1,VG,G,1.32,GIA,65,68,None,None,12/09/2008,456.00,6.12249281,-1.2729657
 Round,0.29,Ideal,G,VS2,EX,VG,1.01,GIA,62.7,57,Strong Blue,None,12/10/2008,456.00,6.12249281,-1.2378744
 Princess,0.31,Very Good,D,VS2,EX,VG,1,GIA,73.7,70,None,None,12/09/2008,456.00,6.12249281,-1.171183
 Round,0.32,Very Good,G,SI1,VG,VG,1.01,GIA,62.6,58,Faint,None,12/10/2008,456.00,6.12249281,-1.1394343
 Round,0.32,Very Good,G,SI1,VG,VG,1.01,GIA,59.4,60,Faint,None,12/10/2008,456.00,6.12249281,-1.1394343
 Round,0.32,Ideal,D,SI1,EX,EX,1.01,GIA,61.8,57,Strong Blue,None,12/09/2008,456.00,6.12249281,-1.1394343
 Round,0.33,Very Good,D,SI2,G,VG,1,GIA,63.5,59,Faint,None,12/10/2008,456.00,6.12249281,-1.1086626
 Princess,0.39,Good,G,VS2,VG,G,1.03,GIA,77.5,72,None,None,12/11/2008,456.00,6.12249281,-0.9416085
 Emerald,0.27,Good,D,VS2,VG,G,1.38,GIA,70.6,70,None,None,12/09/2008,458.00,6.12686918,-1.3093333
 Emerald,0.27,Good,D,VS2,G,G,1.39,GIA,71.4,61,None,None,12/09/2008,458.00,6.12686918,-1.3093333
 Emerald,0.27,Fair,D,VS2,VG,G,1.36,GIA,68.5,76,None,None,12/09/2008,458.00,6.12686918,-1.3093333
 Round,0.26,Very Good,D,VS2,VG,VG,1.01,GIA,63.1,58,None,None,12/09/2008,459.00,6.12905021,-1.3470736
 Round,0.26,Good,D,VS1,VG,VG,1,GIA,55.7,63,None,None,12/09/2008,459.00,6.12905021,-1.3470736
 Round,0.26,Ideal,D,VS2,VG,VG,1,GIA,60.6,60,None,None,12/09/2008,459.00,6.12905021,-1.3470736
 Round,0.26,Ideal,D,VS2,VG,VG,1,GIA,60.3,60,None,None,12/09/2008,459.00,6.12905021,-1.3470736
 Round,0.26,Ideal,D,VS2,VG,VG,1.01,GIA,61.7,57,None,None,12/09/2008,459.00,6.12905021,-1.3470736
 Round,0.29,Ideal,D,SI1,VG,EX,1.01,GIA,60.7,61,None,None,12/09/2008,459.00,6.12905021,-1.2378744
 Round,0.3,Very Good,F,VS2,VG,VG,1,GIA,62.2,57,Strong Blue,None,12/12/2008,470.00,6.15273269,-1.2039728
 Round,0.3,Very Good,F,VS2,VG,VG,1.01,GIA,62.9,61,Medium Blue,None,12/12/2008,470.00,6.15273269,-1.2039728
 Princess,0.31,Very Good,F,VVS2,VG,G,1.01,GIA,71.7,74,None,None,12/11/2008,470.00,6.15273269,-1.171183
 Round,0.31,Very Good,F,SI1,VG,VG,1,GIA,58.8,61,None,None,12/10/2008,470.00,6.15273269,-1.171183
 Round,0.38,Good,F,SI2,EX,VG,1.01,GIA,58.3,58,None,None,12/10/2008,470.00,6.15273269,-0.967584
 Princess,0.27,Very Good,F,VVS1,EX,VG,1.02,GIA,73.4,66,None,None,12/10/2008,471.00,6.15485809,-1.3093333
 Round,0.27,Very Good,D,VS2,G,G,1.01,GIA,60.7,64,Medium Blue,None,12/09/2008,471.00,6.15485809,-1.3093333
 Round,0.3,Ideal,F,SI1,EX,EX,1.01,GIA,61.6,56,None,None,12/17/2008,471.00,6.15485809,-1.2039728
 Round,0.3,Ideal,D,SI2,EX,VG,1.01,GIA,62.3,55,Faint,None,12/15/2008,471.00,6.15485809,-1.2039728
 Round,0.31,Ideal,F,SI1,EX,EX,1,GIA,59.4,60,None,None,12/10/2008,471.00,6.15485809,-1.171183
 Round,0.31,Ideal,F,SI1,EX,EX,1.01,GIA,62.5,58,None,None,12/10/2008,471.00,6.15485809,-1.171183
 Round,0.23,Ideal,D,VS2,VG,VG,1.01,GIA,62.4,53,Medium Blue,None,12/09/2008,472.00,6.15697899,-1.469676
 Round,0.27,Ideal,F,VS1,EX,VG,1.01,GIA,62.1,53,None,None,12/17/2008,472.00,6.15697899,-1.3093333
 Round,0.3,Very Good,F,VS2,G,G,1.02,GIA,62.2,55,Medium Blue,None,12/10/2008,472.00,6.15697899,-1.2039728
 Round,0.3,Good,D,SI1,G,G,1,GIA,57.7,57,None,Small,12/09/2008,472.00,6.15697899,-1.2039728
 Round,0.32,Very Good,F,SI1,G,VG,1.01,GIA,59.7,59,Faint,None,12/10/2008,472.00,6.15697899,-1.1394343
 Round,0.32,Very Good,D,SI1,G,VG,1.01,GIA,60.6,61,Medium,None,12/09/2008,472.00,6.15697899,-1.1394343
 Princess,0.33,Good,D,VS2,VG,G,1.01,GIA,75.1,72,Strong,None,12/09/2008,472.00,6.15697899,-1.1086626
 Princess,0.34,Very Good,D,SI1,VG,VG,1.01,GIA,71.8,71,None,None,12/10/2008,472.00,6.15697899,-1.0788097
 Round,0.35,Very Good,D,SI2,VG,VG,1.01,GIA,64.1,56,Medium,None,12/10/2008,472.00,6.15697899,-1.0498221
 Round,0.35,Very Good,D,SI2,G,G,1.01,GIA,59.9,58,None,None,12/09/2008,472.00,6.15697899,-1.0498221
 Round,0.36,Very Good,D,SI2,VG,VG,1.01,GIA,61.7,61,Faint,None,12/09/2008,472.00,6.15697899,-1.0216512
 Princess,0.37,Fair,D,VS1,VG,G,1.07,GIA,67.8,86,None,None,12/09/2008,472.00,6.15697899,-0.9942523
 Round,0.27,Ideal,D,SI1,EX,EX,1.01,GIA,61.5,55,Faint,None,12/09/2008,473.00,6.15909539,-1.3093333
 Round,0.27,Ideal,D,SI1,EX,VG,1.01,GIA,61.9,55,None,None,12/09/2008,473.00,6.15909539,-1.3093333
 Round,0.3,Very Good,F,SI1,VG,EX,1,GIA,58.9,59,None,None,12/10/2008,473.00,6.15909539,-1.2039728
 Round,0.31,Ideal,F,SI1,EX,EX,1.01,GIA,61.8,56,Strong,None,12/10/2008,473.00,6.15909539,-1.171183
 Princess,0.32,Good,D,VS2,VG,VG,1.04,GIA,75,80,None,None,12/09/2008,473.00,6.15909539,-1.1394343
 Princess,0.39,Good,F,VS2,G,G,1.02,GIA,68.3,80,Faint Blue,None,12/10/2008,473.00,6.15909539,-0.9416085
 Round,0.3,Very Good,F,SI1,VG,VG,1.01,GIA,64.4,57,None,None,12/10/2008,474.00,6.16120732,-1.2039728
 Round,0.3,Good,D,SI1,EX,VG,1,GIA,61.7,62,None,None,12/09/2008,474.00,6.16120732,-1.2039728
 Round,0.31,Good,F,SI1,EX,VG,1.01,GIA,63.2,60,None,None,12/10/2008,474.00,6.16120732,-1.171183
 Princess,0.35,Very Good,F,VS2,VG,VG,1.04,GIA,67.4,70,None,None,12/11/2008,474.00,6.16120732,-1.0498221
 Round,0.37,Very Good,D,SI1,G,VG,1.01,GIA,61.5,59,Strong,None,12/15/2008,474.00,6.16120732,-0.9942523
 Emerald,0.28,Good,D,VS2,G,G,1.37,GIA,74.9,68,None,None,12/09/2008,475.00,6.1633148,-1.2729657
 Princess,0.31,Very Good,D,VS2,VG,G,1.01,GIA,68.7,76,Faint,None,12/09/2008,476.00,6.16541785,-1.171183
 Princess,0.31,Very Good,D,VS2,VG,G,1.02,GIA,69.8,72,None,None,12/09/2008,476.00,6.16541785,-1.171183
 Princess,0.38,Good,D,SI2,G,G,1.04,GIA,80.3,76,Faint,None,12/09/2008,476.00,6.16541785,-0.967584
 Round,0.35,Ideal,G,SI2,ID,ID,1.01,AGSL,61,55,Negligible,None,12/10/2008,477.00,6.16751649,-1.0498221
 Princess,0.3,Very Good,G,VVS1,VG,VG,1.04,GIA,74.6,71,None,None,12/11/2008,478.00,6.16961073,-1.2039728
 Princess,0.32,Very Good,D,VS2,VG,G,1.02,GIA,70.1,72,None,None,12/10/2008,479.00,6.1717006,-1.1394343
 Round,0.37,Very Good,G,VS2,EX,EX,1,GIA,63,54,Strong Blue,None,12/17/2008,479.00,6.1717006,-0.9942523
 Round,0.26,Ideal,D,VS2,VG,VG,1.01,GIA,61.9,60,Faint,None,12/11/2008,480.00,6.1737861,-1.3470736
 Round,0.3,Very Good,D,SI1,VG,VG,1,GIA,64.1,56,Faint,None,12/09/2008,480.00,6.1737861,-1.2039728
 Round,0.3,Very Good,D,SI1,VG,VG,1.02,GIA,63.4,56,Faint Blue,None,12/09/2008,480.00,6.1737861,-1.2039728
 Princess,0.3,Very Good,D,VS1,VG,G,1.11,GIA,71.4,72,None,None,12/09/2008,480.00,6.1737861,-1.2039728
 Princess,0.3,Very Good,D,VS1,EX,G,1.04,GIA,72.5,73,None,None,12/10/2008,480.00,6.1737861,-1.2039728
 Princess,0.34,Very Good,G,VS1,EX,VG,1.01,GIA,71.9,74,None,None,12/11/2008,480.00,6.1737861,-1.0788097
 Round,0.34,Very Good,D,SI2,VG,VG,1.01,GIA,59.1,58,None,None,12/09/2008,480.00,6.1737861,-1.0788097
 Round,0.34,Very Good,D,SI2,VG,VG,1.01,GIA,62.7,59,None,None,12/09/2008,480.00,6.1737861,-1.0788097
 Princess,0.35,Very Good,G,VS1,VG,VG,1,GIA,68,75,None,None,12/11/2008,480.00,6.1737861,-1.0498221
 Round,0.24,Ideal,G,VVS2,EX,EX,1.02,GIA,61.5,55,None,None,12/10/2008,481.00,6.17586727,-1.4271164
 Princess,0.24,Good,D,VVS1,VG,G,1,GIA,70.7,79,None,None,12/09/2008,481.00,6.17586727,-1.4271164
 Round,0.31,Good,G,VS2,VG,G,1.01,GIA,58.8,56,Faint Blue,None,12/10/2008,481.00,6.17586727,-1.171183
 Round,0.31,Ideal,G,VS1,EX,EX,1.01,GIA,61.3,56,Strong Blue,None,12/17/2008,481.00,6.17586727,-1.171183
 Princess,0.33,Very Good,D,VS2,VG,VG,1,GIA,71.1,72,None,None,12/10/2008,481.00,6.17586727,-1.1086626
 Princess,0.27,Good,D,VVS2,VG,VG,1.05,GIA,78.4,78,None,None,12/09/2008,482.00,6.17794411,-1.3093333
 Princess,0.27,Very Good,D,VVS2,G,G,1.05,GIA,70.5,76,None,None,12/09/2008,482.00,6.17794411,-1.3093333
 Princess,0.27,Good,D,VVS2,VG,G,1.02,GIA,76.1,74,Faint Blue,None,12/09/2008,482.00,6.17794411,-1.3093333
 Princess,0.27,Good,D,VVS2,EX,VG,1.04,GIA,77.7,74,None,None,12/09/2008,482.00,6.17794411,-1.3093333
 Princess,0.29,Good,D,VVS2,VG,VG,1.04,GIA,75.5,72,None,None,12/09/2008,482.00,6.17794411,-1.2378744
 Round,0.31,Very Good,D,SI1,EX,VG,1,GIA,58.9,59,Medium,None,12/09/2008,482.00,6.17794411,-1.171183
 Round,0.34,Ideal,G,SI1,ID,ID,1.01,AGSL,61.8,56,None,None,12/10/2008,482.00,6.17794411,-1.0788097
 Round,0.34,Ideal,G,SI1,ID,ID,1.01,AGSL,61.3,56,None,None,12/10/2008,482.00,6.17794411,-1.0788097
 Round,0.34,Ideal,G,SI1,ID,ID,1.01,AGSL,61.3,57,None,None,12/10/2008,482.00,6.17794411,-1.0788097
 Round,0.34,Ideal,G,SI1,EX,EX,1.01,GIA,61.5,56,None,None,12/10/2008,482.00,6.17794411,-1.0788097
 Round,0.34,Ideal,D,SI2,EX,EX,1.01,GIA,61.4,57,None,None,12/09/2008,482.00,6.17794411,-1.0788097
 Princess,0.35,Very Good,G,VS1,VG,VG,1.04,GIA,74.5,70,None,None,12/11/2008,482.00,6.17794411,-1.0498221
 Round,0.35,Ideal,G,SI1,VG,VG,1,GIA,62.4,57,None,None,12/10/2008,483.00,6.18001665,-1.0498221
 Round,0.35,Very Good,D,SI2,VG,VG,1,GIA,60.2,56,None,Very Small,12/10/2008,483.00,6.18001665,-1.0498221
 Round,0.35,Very Good,D,SI2,VG,VG,1.01,GIA,59,58,None,Very Small,12/10/2008,483.00,6.18001665,-1.0498221
 Round,0.37,Ideal,G,SI1,EX,VG,1.01,GIA,62.1,58,None,None,12/10/2008,483.00,6.18001665,-0.9942523
 Round,0.3,Very Good,G,VS2,VG,VG,1.01,GIA,58.3,59,Medium,None,12/10/2008,484.00,6.18208491,-1.2039728
 Princess,0.33,Good,G,VVS1,VG,VG,1.01,GIA,75.3,76,Faint,None,12/10/2008,484.00,6.18208491,-1.1086626
 Round,0.3,Very Good,G,VS2,VG,VG,1.01,GIA,63.4,56,None,Small,12/11/2008,485.00,6.18414889,-1.2039728
 Princess,0.32,Very Good,G,VVS2,VG,VG,1.04,GIA,71.2,73,None,None,12/11/2008,485.00,6.18414889,-1.1394343
 Round,0.26,Very Good,D,VS2,EX,EX,1.01,GIA,61.4,56,Medium Blue,None,12/16/2008,491.00,6.19644413,-1.3470736
 Round,0.33,Ideal,D,SI1,VG,EX,1.01,GIA,60.7,56,Medium,None,12/09/2008,492.00,6.19847872,-1.1086626
 Round,0.28,Very Good,D,VS2,VG,VG,1.01,GIA,61,57,None,None,12/09/2008,493.00,6.20050917,-1.2729657
 Round,0.28,Very Good,D,VS2,VG,EX,1,GIA,61.8,59,None,None,12/09/2008,493.00,6.20050917,-1.2729657
 Round,0.28,Good,D,VS1,VG,VG,1.01,GIA,62.7,61,None,None,12/09/2008,493.00,6.20050917,-1.2729657
 Princess,0.31,Very Good,D,VS1,VG,VG,1,GIA,74,70,None,None,12/09/2008,493.00,6.20050917,-1.171183
 Round,0.31,Ideal,D,SI1,EX,EX,1.01,GIA,62,56,None,None,12/16/2008,493.00,6.20050917,-1.171183
 Princess,0.33,Very Good,D,VS2,VG,VG,1.03,GIA,66.2,67,None,None,12/10/2008,493.00,6.20050917,-1.1086626
 Princess,0.33,Very Good,D,VS2,EX,VG,1.02,GIA,70.9,75,None,None,12/10/2008,493.00,6.20050917,-1.1086626
 Round,0.36,Ideal,D,SI2,VG,VG,1.01,GIA,62.9,56,Faint,Very Small,12/10/2008,493.00,6.20050917,-1.0216512
 Princess,0.3,Very Good,D,SI1,EX,VG,1,GIA,68.7,69,None,None,12/09/2008,495.00,6.20455776,-1.2039728
 Round,0.31,Ideal,D,SI1,VG,VG,1.01,GIA,61.9,57,None,None,12/09/2008,495.00,6.20455776,-1.171183
 Round,0.34,Ideal,D,SI2,EX,EX,1.01,GIA,61.3,57,Faint,Very Small,12/10/2008,495.00,6.20455776,-1.0788097
 Princess,0.28,Good,D,VVS1,VG,G,1.03,GIA,62.8,80,None,None,12/09/2008,496.00,6.20657593,-1.2729657
 Princess,0.3,Very Good,D,VS1,VG,VG,1.06,GIA,71.9,72,None,None,12/09/2008,496.00,6.20657593,-1.2039728
 Princess,0.32,Very Good,D,VS1,VG,G,1.01,GIA,68.6,69,None,None,12/09/2008,496.00,6.20657593,-1.1394343
 Round,0.32,Very Good,D,SI1,VG,VG,1.01,GIA,63.7,57,Medium,None,12/10/2008,496.00,6.20657593,-1.1394343
 Round,0.37,Ideal,D,SI2,VG,VG,1,GIA,62.5,56,Medium,None,12/10/2008,496.00,6.20657593,-0.9942523
 Princess,0.34,Good,D,VS1,VG,VG,1.04,GIA,75.9,77,None,None,12/09/2008,497.00,6.20859003,-1.0788097
 Princess,0.35,Very Good,D,SI1,EX,VG,1.01,GIA,69.9,66,None,None,12/09/2008,497.00,6.20859003,-1.0498221
 Round,0.25,Ideal,G,VVS2,EX,EX,1.01,GIA,62.1,55,None,None,12/10/2008,500.00,6.2146081,-1.3862944
 Round,0.26,Ideal,F,VS1,EX,EX,1.01,GIA,61.2,56,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,EX,EX,1.01,GIA,60.9,56,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,VG,EX,1.01,GIA,62,55,Faint,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,EX,EX,1.01,GIA,62.3,55,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,EX,EX,1.01,GIA,61.8,56,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,EX,EX,1,GIA,61.6,57,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.26,Ideal,F,VS1,EX,VG,1.01,GIA,61.9,54,None,None,12/10/2008,500.00,6.2146081,-1.3470736
 Round,0.3,Very Good,G,VS1,EX,EX,1.01,GIA,62.6,55,None,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1.01,GIA,63,55,Faint,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1,GIA,62.6,58,None,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1.01,GIA,62,58,Faint,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1.01,GIA,63,54,None,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1,GIA,62.6,57,None,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1,GIA,61.5,57,None,None,12/17/2008,500.00,6.2146081,-1.2039728
 Round,0.3,Very Good,F,VS2,EX,EX,1,GIA,62.4,58,Medium Blue,None,12/17/2008,500.00,6.2146081,-1.2039728
 Princess,0.34,Very Good,F,VS1,VG,VG,1.01,GIA,74.8,75,None,None,12/10/2008,500.00,6.2146081,-1.0788097
 Round,0.32,Ideal,G,VS2,ID,ID,1,AGSL,62.4,54,None,Pointed,12/10/2008,501.00,6.2166061,-1.1394343
 Round,0.34,Ideal,G,SI1,EX,VG,1.01,GIA,61.5,56,None,None,12/16/2008,501.00,6.2166061,-1.0788097
 Round,0.36,Very Good,F,SI1,G,VG,1.01,GIA,63.4,57,None,None,12/12/2008,501.00,6.2166061,-1.0216512
 Round,0.36,Very Good,F,SI1,G,G,1.01,GIA,60.6,60,None,None,12/12/2008,501.00,6.2166061,-1.0216512
 Round,0.36,Very Good,F,SI1,G,VG,1.01,GIA,64.4,58,None,None,12/12/2008,501.00,6.2166061,-1.0216512
 Round,0.24,Very Good,F,VS2,ID,ID,1.01,AGSL,61.3,54,None,Pointed,12/10/2008,502.00,6.21860012,-1.4271164
 Round,0.32,Ideal,G,VS2,EX,EX,1,GIA,60.9,59,None,None,12/10/2008,502.00,6.21860012,-1.1394343
 Emerald,0.34,Very Good,G,VS2,G,VG,1.37,GIA,63.4,59,None,None,12/17/2008,502.00,6.21860012,-1.0788097
 Round,0.32,Ideal,G,VS1,VG,VG,1.01,GIA,60.9,59,Medium Blue,None,12/12/2008,503.00,6.22059017,-1.1394343
 Princess,0.33,Very Good,G,VVS1,VG,VG,1.05,GIA,72.2,74,None,None,12/11/2008,503.00,6.22059017,-1.1086626
 Round,0.24,Signature-Ideal,E,SI1,EX,EX,1.01,GIA,61.3,56,Faint,None,12/10/2008,504.00,6.22257627,-1.4271164
 Round,0.24,Signature-Ideal,E,SI1,EX,EX,1.01,GIA,61.4,57,None,None,12/10/2008,504.00,6.22257627,-1.4271164
 Round,0.27,Very Good,E,VS1,EX,EX,1.01,GIA,61.3,54,None,None,12/17/2008,504.00,6.22257627,-1.3093333
 Round,0.27,Very Good,E,VS1,EX,EX,1,GIA,60.9,55,None,None,12/17/2008,504.00,6.22257627,-1.3093333
 Princess,0.3,Very Good,G,VVS1,VG,VG,1,GIA,74.6,74,Faint,None,12/11/2008,504.00,6.22257627,-1.2039728
 Round,0.3,Very Good,E,VS2,EX,EX,1,GIA,62.8,57,Strong Blue,None,12/17/2008,504.00,6.22257627,-1.2039728
 Round,0.31,Ideal,G,VS1,VG,VG,1.01,GIA,60.8,59,Faint,None,12/12/2008,504.00,6.22257627,-1.171183
 Round,0.31,Ideal,G,VS1,VG,EX,1.01,GIA,62.1,58,Faint,None,12/12/2008,504.00,6.22257627,-1.171183
 Round,0.31,Ideal,G,VS1,VG,VG,1.01,GIA,60.5,57,None,None,12/12/2008,504.00,6.22257627,-1.171183
 Round,0.31,Ideal,G,VS1,EX,VG,1.01,GIA,61.6,57,None,None,12/12/2008,504.00,6.22257627,-1.171183
 Princess,0.34,Very Good,G,VVS1,EX,VG,1.02,GIA,73.2,74,None,None,12/10/2008,504.00,6.22257627,-1.0788097
 Princess,0.34,Very Good,G,VVS1,EX,VG,1.04,GIA,72.4,70,None,None,12/10/2008,504.00,6.22257627,-1.0788097
 Round,0.29,Ideal,G,VS1,EX,EX,1.01,GIA,61.6,55,Faint,None,12/10/2008,505.00,6.22455843,-1.2378744
